Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
G O P A L,iam_gopalsharma,8.37,607400,9700.0,9300.0,1.61,Jaipur,Travel,Mega
Thomson Sequeira,limitless_adventurer,8.62,604500,21200.0,73000.0,3.54,Mumbai,Lifestyle and Fashion,Mega
Shruti Yogi,yogishruti,7.83,601800,3500.0,13500.0,0.61,Mumbai,Lifestyle and Fashion,Mega
Glamrs,beglamrs,6.97,598300,596.0,11800.0,0.1,India,Lifestyle and Fashion,Mega
Captain 787,keepem.flying787,8.47,592300,13700.0,89900.0,2.35,Uttar Pradesh,Lifestyle and Fashion,Mega
Shantanunikhil,shantanunikhil,8.46,588700,13300.0,13200.0,2.26,New Delhi,Lifestyle and Fashion,Mega
?? ????? ??,itsmemeenal_,8.51,587000,15500.0,84400.0,2.66,Hyderabad,Lifestyle and Fashion,Mega
Mahesh Keshwala Official �,maheshkeshwala,9.21,586600,97100.0,82600.0,16.73,Mumbai,Lifestyle and Fashion,Mega
Pooja Mundhra,thecozyvibe,8.51,584500,15500.0,89100.0,2.67,Mumbai,Lifestyle and Fashion,Mega
Nikita Madhani,nikitadmadhani,8.37,582600,9700.0,38400.0,1.67,Mumbai,Lifestyle and Fashion,Mega
Westside,westsidestores,6.04,579100,209.0,3900.0,0.04,India,Lifestyle and Fashion,Mega
Shruti Arjun Anand,shrutiarjunanand,7.96,568900,5100.0,590800.0,0.9,India,Lifestyle and Fashion,Mega
Feisty Fox Diaries,feistyfoxdiaries,8.26,566500,8400.0,52800.0,1.5,Mumbai,Lifestyle and Fashion,Mega
Harper'sBazaar Bride,bazaarbridein,2.0,565700,775.0,22200.0,0.14,Mumbai,Lifestyle and Fashion,Mega
Gaurav Gupta,gauravguptaofficial,7.8,560400,3300.0,23200.0,0.6,Delhi,Lifestyle and Fashion,Mega
Saheli ??????????,_bongprincess_,8.35,560200,9300.0,12300.0,1.69,Kolkata,Lifestyle and Fashion,Mega
Malvika Sitlani,malvikasitlaniofficial,9.11,552000,45500.0,138500.0,8.27,Mumbai,Lifestyle and Fashion,Mega
Anupria Goenka,goenkaanupriya,8.29,545200,8800.0,20700.0,1.62,Mumbai,Arts and Entertainment,Mega
OVertone,overtonecolor,6.25,543500,291.0,7200.0,0.05,Assam,Lifestyle and Fashion,Mega
Pinkvilla Fashion,pinkvillafashion,7.65,541100,1600.0,14600.0,0.3,Mumbai,Lifestyle and Fashion,Mega
Anaita Shroff Adajania,anaitashroffadajania,7.82,536000,3400.0,13500.0,0.65,Mumbai,Lifestyle and Fashion,Mega
