Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
????????,rj_vashishth,7.78,202800,3000,8400,1.51,India,Travel,Mid Tier
Jasmine M Moosa  ??????,jazminejaas4,8.37,202000,9500,209000,4.83,Kerala,Arts and Entertainment,Mid Tier
Gaadiwaadi.com�,gaadiwaadi,6.32,201300,322,4500,0.16,Gurgaon,Automotive,Mid Tier
Anita,anitapratapsingh,8.14,200900,7000,66700,3.57,Nagpur,Family and Parenting,Mid Tier
Saurabh Nirmal,thatdelhifoodie,6.58,200700,412,16900,0.21,New Delhi,Food and Drink,Mid Tier
IGeeksBlog.com ??,igeeksblog,7.66,200400,1700,5100,0.87,Ahmedabad,Technology,Mid Tier
Alisha Abdullah,alishaabdullah,7.63,199600,1300,5800,0.68,Chennai,Automotive,Mid Tier
Kinjal Bhanushali,kinjalshuklabhanushali,8.29,199300,8700,105300,4.40,Mumbai,Lifestyle and Fashion,Mid Tier
Fly-Wheel,hanmust,7.86,199200,3900,7600,1.99,Kozhikode,Automotive,Mid Tier
Jaseem NK,jaseem.nk,5.21,195700,93,6700,0.05,Thrissur,Photography,Mid Tier
Pooja Jaggi,hardcorefoodie5,7.67,195400,1800,24200,0.93,New Delhi,Food and Drink,Mid Tier
Sagar Mogha,officialsagarmogha,7.73,194300,2400,23600,1.30,Delhi,Health and Fitness,Mid Tier
Gurpreet Singh,gkgurpreet,8.16,193800,7400,8100,3.81,Punjab,Sports,Mid Tier
Arr�,arreindia,6.31,193400,316,464,0.16,India,Technology,Mid Tier
Chef Kelvin Cheung,chefkelvincheung,6.46,193400,335,15000,0.19,Mumbai,Food and Drink,Mid Tier
Richa (myfoodstory),my_foodstory,7.6,193100,1000,20000,0.53,Bengaluru,Food and Drink,Mid Tier
Tamil Tech,tamiltechofficial,7.74,191800,2600,18500,1.35,India,Technology,Mid Tier
Karthik Srinivasan,karthiksrinivasan007,6.82,191600,511,3700,0.27,India,Arts and Entertainment,Mid Tier
Techbar,shokeensanchit,8.41,191300,10900,22000,5.71,India,Technology,Mid Tier
Priyanshu Kumar,therawtextures,7.83,191100,3700,17900,1.92,Delhi,Food and Drink,Mid Tier
Navaneeth Unnikrishnan,navaneeth_unnikrishnan,8.47,191000,13400,18100,7.09,India,Arts and Entertainment,Mid Tier
Ankit Sharma,man_made_machines,8.42,189800,11200,50900,5.96,Bengaluru,Travel,Mid Tier
GAUTAM | INFLUENCER,igautam_gupta,2.0,189000,5200,75300,2.87,Delhi,Lifestyle and Fashion,Mid Tier
Chef Chinu,chefchinuvaze,7.75,188700,2700,26400,1.46,Mumbai,Food and Drink,Mid Tier
India Clicks,india.clicks,6.3,188400,311,1400,0.17,Mumbai,Travel,Mid Tier
Sneha Singhi,snehasinghi1,7.77,186600,3000,10400,1.62,India,Food and Drink,Mid Tier
Puneri Paltan,puneripaltanofficial,8.21,186200,7900,17800,4.25,Pune,Sports,Mid Tier
MadlyYummy,madly_yummy,8.29,186200,8800,69200,4.72,Kerala,Food and Drink,Mid Tier
UpGrad,upgrad_edu,6.92,186200,569,30200,0.31,Mumbai,Business,Mid Tier
The Local Train,thelocaltrain,8.45,186200,12800,28600,6.90,New Delhi,Technology,Mid Tier
Momspresso,momspresso,5.48,186000,132,17600,0.07,Gurgaon,Family and Parenting,Mid Tier
"That Indian Curry, Bangalore",thatindiancurry,3.44,185100,0,13500,0.01,Bengaluru,Food and Drink,Mid Tier
Hey Delhi,hey.delhi,7.67,185100,1900,18800,1.02,New Delhi,Food and Drink,Mid Tier
