Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Ultra Cookery,ultracookery,5.16,115.1k,98,1.2k,0.09%,India,Food and Drink
Cook With Nisha,cookwithnisha,7.65,114.8k,1.6k,11.4k,1.42%,India,Food and Drink
Shubhra Paul,gastronomicjournal,7.69,114.6k,2k,15.9k,1.76%,Nagpur,Food and Drink
Sharmis Passions,sharmispassions,6.51,114.6k,378,5.2k,0.34%,India,Food and Drink
Chalo Odisha,chalo_odisha,8.02,114.4k,5.7k,37.7k,5.01%,Odisha,Lifestyle and Fashion
Neha Sharma,hungrydilliwaali,2,114.3k,0,0,0.00%,India,Food and Drink
Travel,themermaidwoman,7.17,114.2k,706,0,0.64%,India,Travel
Devika Narain,naraindevika,7.68,113.9k,1.9k,26.1k,1.68%,Chandigarh,Travel
Berger Paints,bergerpaintsindia,5.77,113.9k,171,1k,0.15%,India,Business
Prateek,sofaridabad,7.65,113.5k,1.6k,0,1.43%,Faridabad,Food and Drink
Pooja Bathija,golgappa_girl,8,113.3k,5.5k,22.3k,4.89%,Mumbai,Food and Drink
Zeel Shah - College Counselor,firstcareercounseling,6.23,113.2k,283,2.2k,0.25%,Mumbai,Education
Diapers & Lipsticks - Being Mommy,diapers_and_lipsticks,7.66,113.2k,1.7k,14k,1.57%,Haryana,Family and Parenting
Photography,flexcia_dsouza,7.67,113k,1.9k,0,1.66%,Ponda,Food and Drink
Hotheads Extensions,hotheadshairextensions,4.8,112.7k,72,1.5k,0.07%,India,Business
Delhi Food Nerd,khaata_rahe_mera_dil,6.08,112.7k,226,0,0.20%,New Delhi,Food and Drink
Laksh,nagpur_buzz,7.76,112.6k,2.9k,43k,2.57%,Nagpur,Food and Drink
Surbhi Sharma,droolingdoll,7.68,112.4k,1.9k,29.8k,1.76%,India,Lifestyle and Fashion
VahChef-SanjayThumma,vahchef,7.61,112.2k,1.2k,11.2k,1.07%,India,Food and Drink
Pratiksha,racerchick_11,8.4,112.2k,10k,13.6k,8.99%,Mumbai,Automotive
EverydayMumbai,everydaymumbai,2,112.1k,0,0,0.00%,India,Arts and Entertainment
Sumita Kapoor,sumitakapoor14003,7.86,111.8k,3.8k,45.7k,3.56%,New Delhi,Family and Parenting
