Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Abhishek Bachchan,bachchan,9.2,9.4m,54.2k,179.2k,0.58%,India,MoviesArts & Entertainment
Beauty Khan,cuty_beauty_khan,9.2,9.4m,73.4k,520.7k,0.79%,India,Arts & Entertainment
Kareena Kapoor Khan,kareenakapoorkhan,9.28,9.3m,387.6k,1m,4.18%,India,Arts & EntertainmentMovies
Ashnoor Kaur,ashnoorkaur,9.22,9.2m,147.8k,396.1k,1.62%,India,Arts & Entertainment
Preity Zinta,realpz,9.21,9.1m,107.9k,321k,1.19%,Mumbai,Arts & EntertainmentMovies
Yo Yo Honey Singh,yyhsofficial,2,9m,269.3k,744.1k,2.99%,India,Arts & EntertainmentMovies
Jubin Nautiyal,jubin_nautiyal,9.22,9m,135.8k,669.8k,1.52%,India,Arts & EntertainmentMusic
Surbhi Jyoti,surbhijyoti,9.24,9m,235k,299.1k,2.65%,India,Arts & EntertainmentMovies
Piyanka Mongia,piyanka_mongia,9.26,8.8m,309.6k,273.2k,3.56%,Delhi,Arts & Entertainment
Ajay Devgn,ajaydevgn,9.2,8.6m,69.1k,164.2k,0.81%,Mumbai,Arts & EntertainmentMovies
Mahesh Babu,urstrulymahesh,9.31,8.6m,484.8k,0.9m,5.64%,India,Arts & EntertainmentMovies
Prabhas,actorprabhas,9.33,8.6m,584.2k,1.7m,6.83%,India,Arts & EntertainmentMovies
Esha Gupta,egupta,9.27,8.6m,342.2k,1m,4.00%,Mumbai,Arts & EntertainmentMovies
Raashi Khanna,raashiikhanna,9.26,8.4m,315.4k,474.1k,3.76%,India,Arts & EntertainmentMovies
Amit Bhadana,theamitbhadana,9.26,8.4m,283.9k,548k,3.48%,India,Arts & Entertainment
Aditi Rao Hydari,aditiraohydari,9.21,8.2m,103.5k,143.5k,1.26%,India,MoviesArts & Entertainment
Allu Sneha Reddy,allusnehareddy,9.27,8.2m,329.1k,2.1m,4.02%,Hyderabad,Arts & Entertainment
Rakhi Sawant,rakhisawant2511,8.49,8m,14.4k,297.3k,0.18%,India,Arts & EntertainmentMovies
Ram Charan,alwaysramcharan,9.44,7.8m,1m,1.5m,12.73%,India,Arts & EntertainmentMovies
Sonam Bajwa,sonambajwa,9.26,7.8m,302.6k,343.1k,3.88%,India,Arts & EntertainmentMovies
Kriti Kharbanda,kriti.kharbanda,9.24,7.8m,222.7k,443.4k,2.88%,India,Arts & EntertainmentMovies
Vijay Television,vijaytelevision,7.97,7.7m,5.2k,112.4k,0.07%,India,Arts & EntertainmentMusic
Mika Singh,mikasingh,8.51,7.7m,15.5k,228.3k,0.20%,India,Arts & EntertainmentMovies
GAUAHAR KHAN,gauaharkhan,9.21,7.7m,127.2k,0.9m,1.65%,Mumbai,Arts & EntertainmentMovies
Tara Sutaria,tarasutaria,9.29,7.7m,417.2k,548.1k,5.46%,India,Arts & EntertainmentTelevision
Nia Sharma,niasharma90,9.21,7.6m,107.3k,355.3k,1.44%,India,Arts & EntertainmentMovies
Krystle D'souza,krystledsouza,6.12,7.5m,0,145.5k,0.00%,India,Arts & EntertainmentTelevision
Sargun Mehta,sargunmehta,9.23,7.4m,169.4k,584.7k,2.30%,India,Arts & EntertainmentMovies
Shirley Setia,shirleysetia,9.23,7.4m,185.2k,328.7k,2.50%,India,Arts & EntertainmentMusic
Munmun Dutta,mmoonstar,9.25,7.4m,271.6k,298.7k,3.70%,Mumbai,Arts & EntertainmentMovies
Arjun Bijlani,arjunbijlani,9.2,7.4m,69.8k,187.7k,0.96%,India,Arts & EntertainmentMovies
Karishma Kapoor,therealkarismakapoor,9.22,7.3m,140.4k,535.8k,1.95%,India,Arts & EntertainmentMovies
Priya  Varrier,priya.p.varrier,9.21,7.2m,109.1k,560.1k,1.52%,Mumbai,Arts & EntertainmentMovies
Nargis Fakhri,nargisfakhri,9.03,7.2m,41.2k,226.3k,0.58%,Mumbai,Arts & EntertainmentMovies
Anita Hassanandani,anitahassanandani,9.21,7.1m,117.5k,157k,1.65%,Mumbai,Arts & EntertainmentMovies
